State,Tax,Year,Petrol_Consumption_Gal
Oregon,24,2007,2931894000
Pennsylvania,31.2,2007,10977918000
Rhode Island,31,2007,708540000
South Carolina,16,2007,4200588000
South Dakota,22,2007,952896000
Tennessee,21.4,2007,6125784000
Texas,20,2007,52473666000
Utah,24.5,2007,2333100000
Virginia,17.5,2007,7608636000
Vermont,20,2007,700056000
Washington,34,2007,6318900000
Wisconsin,32.9,2007,4775022000
West Virginia,31.5,2007,1817928000
Wyoming,14,2007,1290744000
Alaska,8,2006,2532852000
Alabama,18,2006,4713198000
Arkansas,21.5,2006,2782920000
Arizona,18,2006,4638858000
California,18,2006,29683416000
Colorado,22,2006,4023012000
Connecticut,25,2006,3116568000
"Washington, D.C.",22.5,2006,181356000
Delaware,23,2006,956214000
Florida,14.9,2006,15551718000
Georgia,15.3,2006,8473500000
Hawaii,16,2006,2165688000
Iowa,20.7,2006,3689364000
Idaho,25,2006,1286796000
Illinois,20.1,2006,10762710000
Indiana,18,2006,6725670000
Kansas,24,2006,2706984000
Kentucky,18.5,2006,5523756000
Louisiana,20,2006,16639476000
Massachusetts,21,2006,5150250000
Maryland,23.5,2006,4317012000
Maine,25.9,2006,1801044000
Michigan,19,2006,7559664000
Minnesota,20,2006,5448492000
Missouri,17.55,2006,5862444000
Mississippi,18.4,2006,3599316000
Montana,27,2006,1488606000
North Carolina,30.15,2006,7304094000
North Dakota,23,2006,1068186000
Nebraska,27,2006,1810830000
New Hampshire,19.625,2006,1349334000
New Jersey,14.5,2006,9098964000
New Mexico,18.9,2006,2084544000
Nevada,24.805,2006,2269302000
New York,23.9,2006,12048582000
Ohio,28,2006,10167486000
Oklahoma,17,2006,4661202000
Oregon,24,2006,2953902000
Pennsylvania,31.2,2006,11089722000
Rhode Island,31,2006,722442000
South Carolina,16,2006,4306428000
South Dakota,22,2006,926898000
Tennessee,21.4,2006,6160938000
Texas,20,2006,53152428000
Utah,24.5,2006,2388246000
Virginia,17.5,2006,7533624000
Vermont,20,2006,714252000
Washington,31,2006,6108732000
Wisconsin,32.9,2006,4752804000
West Virginia,27,2006,1822884000
Wyoming,14,2006,1261554000
Alaska,8,2005,2464140000
Alabama,18,2005,4664184000
Arkansas,21.5,2005,2779644000
Arizona,18,2005,4548684000
California,18,2005,29330196000
Colorado,22,2005,3874500000
Connecticut,25,2005,3436188000
"Washington, D.C.",22.5,2005,223524000
Delaware,23,2005,1030764000
Florida,14.5,2005,16256730000
Georgia,7.5,2005,8704542000
Hawaii,16,2005,2153214000
Iowa,20.5,2005,3617796000
Idaho,25,2005,1240974000
Illinois,20.1,2005,11200266000
Indiana,18,2005,6704838000
Kansas,24,2005,2625420000
Kentucky,17.4,2005,5502462000
Louisiana,20,2005,15396276000
Massachusetts,21,2005,5670588000
Maryland,23.5,2005,4701774000
Maine,25.2,2005,1998318000
Michigan,19,2005,8039262000
Minnesota,20,2005,5604480000
Missouri,17.03,2005,5922000000
Mississippi,18.4,2005,3485454000
Montana,27,2005,1407462000
North Carolina,26.85,2005,7489818000
North Dakota,21,2005,1079190000
Nebraska,26.3,2005,1805580000
New Hampshire,19.5,2005,1485708000
New Jersey,14.5,2005,9331518000
New Mexico,18.9,2005,1978620000
Nevada,23,2005,2149098000
New York,23.2,2005,13663566000
Ohio,26,2005,10092264000
Oklahoma,17,2005,4402314000
Oregon,24,2005,2897748000
Pennsylvania,30,2005,11489184000
Rhode Island,31,2005,753732000
South Carolina,16,2005,4253172000
